player_name,season,shots_total,goals,xg_total,xg_per_shot,on_target,goals_minus_xg,conversion_rate
A. Jøsendal,WSL 2025-2026,1,0,0.10185185074806213,0.10185185074806213,0,-0.10185185074806213,0.0
A. Kennedy,WSL 2020-2021,28,1,2.0728777423501015,0.07403134794107505,17,-1.0728777423501015,0.03571428571428571
A. Kennedy,WSL 2021-2022,4,1,0.2819383144378662,0.07048457860946655,3,0.7180616855621338,0.25
A. Kennedy,WSL 2022-2023,5,0,0.16543566435575485,0.03308713287115097,3,-0.16543566435575485,0.0
A. Kennedy,WSL 2023-2024,11,0,1.64447271078825,0.14949751916256818,3,-1.64447271078825,0.0
A. Kennedy,WSL 2024-2025,1,0,0.0,0.0,1,0.0,0.0
A. Kennedy,WSL 2025-2026,13,1,2.2384191155433655,0.17218608581102812,6,-1.2384191155433655,0.07692307692307693
A. Kuyken,WSL 2017-2018,1,0,0.4364641010761261,0.4364641010761261,0,-0.4364641010761261,0.0
A. Kuyken,WSL 2018-2019,1,0,0.0,0.0,1,0.0,0.0
A. Lahmari,WSL 2017,1,0,0.0,0.0,1,0.0,0.0
A. Larkin,WSL 2024-2025,7,1,0.7004123777151108,0.10005891110215868,6,0.2995876222848892,0.14285714285714285
A. Lawrence,WSL 2023-2024,5,1,0.8085184991359711,0.1617036998271942,4,0.19148150086402893,0.2
A. Lawrence,WSL 2024-2025,6,1,0.7218518555164337,0.12030864258607228,5,0.2781481444835663,0.16666666666666666
A. Lehmann,WSL 2018-2019,35,6,5.398768700659275,0.1542505343045507,20,0.601231299340725,0.17142857142857143
A. Lehmann,WSL 2019-2020,16,3,3.0787024050951004,0.19241890031844378,10,-0.0787024050951004,0.1875
A. Lehmann,WSL 2020-2021,14,1,1.331337109208107,0.09509550780057907,9,-0.331337109208107,0.07142857142857142
A. Lehmann,WSL 2021-2022,30,2,2.264654582593499,0.07548848608644997,19,-0.26465458259349894,0.06666666666666667
A. Lehmann,WSL 2022-2023,24,5,3.630906662199555,0.15128777759164813,19,1.3690933378004448,0.20833333333333334
A. Lehmann,WSL 2023-2024,12,2,2.865755185484886,0.23881293212374052,6,-0.8657551854848862,0.16666666666666666
A. Lehmann,WSL 2025-2026,8,1,1.2872978746891022,0.16091223433613777,5,-0.2872978746891022,0.125
